bot,verified,geo_enabled,default_profile,has_description,len_en,followers,friends,listed_count,likes,tweets,cat_followers,cat_friends,cat_listed_count,cat_likes,cat_tweets
0,0.0,0.0,1.0,1,0,310877,1345,1782,355,27235,5,4,4,3,5
1,0.0,0.0,0.0,1,0,395,184,1,14846,5743,3,3,1,5,4
0,0.0,0.0,1.0,1,0,441,1239,0,1454,2688,3,4,1,4,4
0,0.0,0.0,1.0,0,0,39,289,0,4140,1601,2,3,1,4,4
0,0.0,0.0,1.0,1,0,215,645,16,24983,18083,3,3,2,5,5
0,0.0,0.0,1.0,1,0,130,105,0,18789,5213,3,3,1,5,4
0,0.0,1.0,0.0,1,0,543,2247,1,4001,4383,3,4,1,4,4
1,0.0,0.0,1.0,0,0,19,38,0,2790,2039,2,2,1,4,4
0,0.0,1.0,0.0,1,0,1044,677,44,20109,65490,4,3,2,5,5
0,0.0,0.0,1.0,1,0,169,388,0,12641,13601,3,3,1,5,5
0,0.0,1.0,1.0,1,0,129,425,11,5782,8892,3,3,2,4,4
1,0.0,0.0,1.0,0,0,501,913,1,4495,7204,3,3,1,4,4
1,0.0,0.0,1.0,0,1,40,26,0,3300,3448,2,2,1,4,4
0,0.0,0.0,0.0,1,0,332,477,169,812,4926,3,3,3,3,4
1,0.0,0.0,1.0,0,0,262,22,3,5902,8877,3,2,1,4,4
0,0.0,0.0,1.0,1,0,473,969,4,14496,19663,3,3,1,5,5
1,0.0,0.0,1.0,0,0,292,615,0,1316,5039,3,3,1,4,4
1,0.0,1.0,1.0,1,0,604,134,32,8727,8554,3,3,2,4,4
1,0.0,0.0,1.0,0,0,2,30,0,2198,2198,1,2,1,4,4
0,0.0,1.0,0.0,1,0,1160,1226,48,42236,96148,4,4,2,5,5
0,0.0,1.0,0.0,1,0,363,2151,4,3184,3622,3,4,1,4,4
0,0.0,1.0,1.0,1,0,166,293,1,17997,7727,3,3,1,5,4
0,0.0,1.0,0.0,1,0,1869,1856,56,27842,53575,4,4,2,5,5
1,0.0,1.0,1.0,1,0,256,358,0,7561,5614,3,3,1,4,4
0,0.0,0.0,0.0,1,0,5270,1053,99,57697,84358,4,4,2,5,5
1,0.0,1.0,0.0,1,0,632,1667,31,88228,21931,3,4,2,5,5
1,0.0,0.0,1.0,1,0,224,466,1,1545,5020,3,3,1,4,4
0,0.0,1.0,0.0,1,0,249,238,3,24581,10282,3,3,1,5,5
0,0.0,1.0,0.0,1,1,1238,2865,36,38050,43086,4,4,2,5,5
0,0.0,1.0,0.0,1,0,5125,606,41,66882,92406,4,3,2,5,5
